timestamp,open,high,low,close,SMA_3,SMA_6,RSI_14,monthly_volatility,target
2008-05-30,1.5619,1.5817,1.5289,1.5554,1.564466666666667,1.5260833333333332,82.71604938271594,0.033804981112747406,1
2008-06-30,1.5561,1.5842,1.5304,1.5754,1.5641999999999998,1.5455833333333333,83.82541720154033,0.03457361352098198,0
2008-07-31,1.5754,1.6035,1.5519,1.5597,1.5635000000000001,1.5579,84.80519480519477,0.03275358639075782,0
2008-08-29,1.5598,1.563,1.457,1.4671,1.5340666666666667,1.5492666666666668,64.4206227667177,0.06795743043979989,0
2008-09-30,1.4686,1.4867,1.3882,1.4115,1.4794333333333334,1.5218166666666668,54.986149584487514,0.06707067955876332,0
2008-10-31,1.4114,1.4174,1.2329,1.2731,1.3839,1.4737,42.0773714891362,0.1307212696613291,0
2008-11-28,1.2726,1.3116,1.2389,1.2693,1.3179666666666667,1.4260166666666667,34.45959296581704,0.05712714128555729,1
2008-12-31,1.2692,1.4719,1.2549,1.3971,1.3131666666666666,1.3963,45.86257548555574,0.17097384179010405,0
2009-01-30,1.3968,1.4069,1.2764,1.2809,1.3157666666666668,1.3498333333333334,37.2249474421864,0.09342783505154643,0
2009-02-27,1.281,1.3094,1.2513,1.2672,1.3150666666666666,1.3165166666666668,36.76633444075306,0.04535519125683046,1
2009-03-31,1.2669,1.3739,1.2457,1.3243,1.2908,1.3019833333333333,39.26339582502327,0.10119188570526472,0
2009-04-30,1.3241,1.3582,1.2886,1.3223,1.3046,1.3101833333333335,36.36615811373094,0.05256400573974783,1
2009-05-29,1.3223,1.417,1.3211,1.4153,1.3539666666666665,1.3345166666666668,39.368309766089595,0.07252514557967185,0
2009-06-30,1.4158,1.434,1.3749,1.4031,1.3802333333333332,1.3355166666666667,39.48310139165009,0.04174318406554593,1
2009-07-31,1.4034,1.4304,1.3832,1.4249,1.4144333333333332,1.3595166666666667,41.52487336017665,0.03363260652700578,1
2009-08-31,1.4255,1.4449,1.4046,1.4331,1.4203666666666666,1.3871666666666667,40.61469463131513,0.028270782181690636,1
2009-09-30,1.4329,1.4844,1.4177,1.4634,1.4404666666666666,1.4103500000000002,43.76860359777403,0.0465489566613162,1
2009-10-30,1.4634,1.5063,1.4481,1.473,1.4565000000000001,1.4354666666666667,50.42772219805713,0.039770397703977056,1
2009-11-30,1.4718,1.5145,1.4627,1.5006,1.479,1.4496833333333334,56.73265830436754,0.0351949993205599,0
2009-12-31,1.5004,1.5141,1.4218,1.4324,1.4686666666666668,1.4545666666666666,63.465765004226554,0.06151692881898164,0
2010-01-29,1.4323,1.458,1.3862,1.3862,1.4397333333333335,1.4481166666666667,59.22069727086293,0.0501291628848704,0
2010-02-26,1.386,1.4026,1.3444,1.3626,1.3937333333333335,1.4363666666666666,46.743439682839345,0.04199134199134202,0
2010-03-31,1.363,1.3818,1.3268,1.3506,1.3664666666666667,1.4175666666666666,58.190364277320825,0.04035216434336019,0
2010-04-30,1.3507,1.3692,1.3112,1.329,1.3474000000000002,1.3935666666666666,57.12967235809874,0.042940697416154625,0
2010-05-31,1.3327,1.333,1.2141,1.2307,1.3034333333333332,1.3485833333333332,40.139064475347645,0.08921737825467098,0
2010-06-30,1.2306,1.2467,1.1874,1.2234,1.2610333333333335,1.31375,39.69576995207334,0.048187875832926955,1
2010-07-30,1.2233,1.3107,1.2191,1.305,1.2530333333333334,1.3002166666666666,38.22838847385271,0.07487942450747968,0
2010-08-31,1.3061,1.3334,1.2584,1.2688,1.2657333333333334,1.2845833333333332,36.365482233502526,0.05742286195543982,1
2010-09-30,1.2688,1.3683,1.2641,1.3627,1.3121666666666667,1.2866,44.4916755224938,0.08212484237074406,1
2010-10-29,1.3629,1.4157,1.3615,1.3944,1.3419666666666668,1.2975,46.70974324094542,0.03976814146305674,0
2010-11-30,1.3963,1.4282,1.2966,1.2984,1.3518333333333334,1.3087833333333334,37.381462220862645,0.09424908687244857,1
2010-12-31,1.3001,1.3497,1.2968,1.3385,1.3437666666666666,1.3279666666666667,40.172438988747615,0.04068917775555722,1
2011-01-31,1.3285,1.3758,1.287,1.3692,1.3353666666666666,1.3386666666666667,40.4422461448938,0.06684230334964245,1
2011-02-28,1.3691,1.3861,1.3426,1.3804,1.3627,1.3572666666666666,45.875634517766514,0.03177269739244766,1
2011-03-31,1.3822,1.425,1.3741,1.4169,1.3888333333333334,1.3662999999999998,52.47301433864991,0.036825350889885644,1
2011-04-29,1.4173,1.4882,1.406,1.4809,1.4260666666666666,1.3807166666666666,58.947209196793224,0.05799760107246176,0
